site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,19,19,18,476,yes,NA,1,1,7,250,24,2,621,34,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,20,32,198,no,NA,1,1,5,294,16,0,NA,NA,NA,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,21,24,136,no,NA,3,1,4,242,16,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,21,47,117,no,NA,3,2,3,219,13,no,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,21,49,115,no,NA,3,3,4,226,11,no,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,22,238,22,no,NA,3,1,6,274,14,2,489,17,flowering,no,NA,NA,"clorotic spots, leaf mine 2",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,22,239,32,no,NA,3,2,5,266,19,1,124,9,not flowering yet,no,NA,NA,"clorotic spots, leaf mine 2",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,22,252,47,no,NA,3,3,4,91,11,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,23,335,116,no,NA,1,1,6,243,17,0,NA,NA,NA,no,NA,NA,"leaf mine, clorotic spots",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,24,431,101,no,NA,1,1,5,225,18,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,25,427,167,no,NA,2,1,4,228,19,1,428,17,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,25,450,174,no,NA,2,2,7,277,20,3,610,37,flowering,no,NA,NA,"clorotic spots, fungus",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,26,462,218,no,NA,1,1,6,225,19,2,451,26,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,27,396,428,no,NA,1,1,16,235,19,5,556,51,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,28,215,406,no,NA,1,1,6,339,18,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,29,158,304,yes,NA,1,1,4,250,14,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,30,142,346,yes,NA,1,1,5,300,12,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,31,111,328,yes,NA,1,1,6,245,22,2,591,29,flowering,no,NA,NA,NA,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,32,178,258,no,NA,1,1,6,216,11,0,NA,NA,NA,no,NA,NA,NA,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,33,64,268,no,NA,1,1,5,256,11,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,34,35,434,no,NA,1,1,12,260,21,6,551,46,flowering,no,NA,NA,leaf mine 2,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,35,245,232,no,NA,2,1,6,275,16,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,77,35,260,199,no,NA,2,2,5,266,12,0,NA,NA,NA,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P7,31,36,116,212,no,NA,1,1,7,310,27,3,639,19,not flowering yet,no,NA,NA,NA,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P7,31,37,188,243,no,NA,1,1,6,261,22,3,562,34,flowering,no,NA,NA,NA,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P7,31,38,36,411,no,NA,1,1,14,291,24,4,607,36,flowering,no,NA,NA,leaf mine,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P8,21,39,120,366,no,NA,1,1,4,316,13,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P9,30,40,9,329,yes,NA,1,1,10,358,32,3,830,39,flowering,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P9,30,41,21,304,yes,NA,1,1,4,335,19,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P9,30,42,120,174,no,NA,1,1,5,350,25,2,709,51,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P9,30,43,224,144,yes,NA,1,1,5,413,33,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P9,30,44,198,200,yes,NA,1,1,3,344,23,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P9,30,45,274,236,no,NA,1,1,10,417,30,5,864,42,flowering,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P9,30,46,472,114,no,NA,1,1,40,369,32,6,862,52,flowering,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P10,111,47,135,17,no,NA,1,1,5,281,16,0,NA,NA,NA,no,NA,NA,clorotic spot,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P10,111,48,215,192,no,NA,1,1,5,172,9,0,NA,NA,NA,no,NA,NA,clorotic spot,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P10,111,49,232,289,no,NA,1,1,9,330,17,3,625,36,flowering,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P10,111,50,377,224,no,NA,1,1,5,351,14,5,726,32,flowering,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,51,65,21,no,NA,1,1,7,366,21,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,52,125,197,no,NA,1,1,5,298,17,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,53,161,72,no,NA,1,1,4,244,14,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,54,156,124,no,NA,1,1,9,270,15,0,436,NA,NA,no,NA,NA,"clorotic spots, fungus",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,55,223,93,no,NA,1,1,6,450,21,1,179,8,not flowering yet,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,56,306,59,no,NA,3,1,6,341,18,1,338,11,not flowering yet,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,56,313,61,no,NA,3,2,5,306,17,1,53,6,not flowering yet,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,56,305,82,no,NA,3,3,6,331,20,2,404,12,not flowering yet,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,57,354,164,no,NA,2,1,5,345,22,1,165,8,not flowering yet,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,57,376,157,no,NA,2,2,6,322,29,3,611,32,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,58,380,133,yes,NA,1,1,5,261,15,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,59,438,349,no,NA,1,1,8,356,20,2,695,20,flowering,no,NA,NA,"clorotic spots, fungus",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,60,498,431,no,NA,2,1,6,264,11,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,60,502,456,no,NA,2,2,6,325,13,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,61,408,500,no,NA,1,1,7,320,27,2,741,21,flowering,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,62,297,412,no,NA,1,1,10,291,26,3,698,34,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,63,238,287,no,NA,1,1,11,280,18,3,674,39,no seed,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,64,202,439,yes,NA,1,1,4,291,20,0,NA,NA,NA,no,NA,NA,"clorotic spots, leaf mine 2",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,65,159,459,yes,NA,1,1,8,456,25,0,NA,NA,NA,no,NA,NA,clorotic spot,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,87,66,25,454,no,NA,1,1,8,314,20,4,701,35,flowering,NA,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,67,24,196,no,NA,1,1,7,299,17,3,624,43,flowering,NA,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,68,149,271,no,NA,1,1,6,325,17,1,244,13,not flowering yet,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,69,199,172,no,NA,1,1,4,252,12,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,70,262,75,yes,NA,1,1,12,274,17,1,6,9,not flowering yet,NA,NA,NA,"clorotic spots, leaf mine 2",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,71,264,49,yes,NA,1,1,5,250,15,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,72,299,119,no,NA,1,1,6,350,12,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,73,372,48,no,NA,1,1,5,304,21,0,NA,NA,NA,NA,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,74,401,15,no,NA,4,1,5,325,16,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,74,428,24,no,NA,4,2,4,307,17,0,NA,NA,NA,NA,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,74,425,5,no,NA,4,3,4,230,10,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,74,412,7,no,NA,4,4,4,265,12,0,NA,NA,NA,NA,NA,NA,"clorotic spots, leaf ,mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,75,466,57,no,NA,1,1,4,259,13,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,76,462,372,no,NA,1,1,5,307,17,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,77,413,340,no,NA,1,1,10,299,17,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,78,350,419,no,NA,1,1,5,306,17,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,79,308,331,no,NA,1,1,8,313,20,1,361,18,not flowering yet,NA,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P12,115,80,220,461,no,NA,1,1,4,360,15,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,81,48,141,no,NA,1,1,4,332,11,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,82,62,236,no,NA,1,1,10,305,17,3,693,34,flowering,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,83,187,189,no,NA,1,1,5,233,11,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,84,105,161,no,NA,1,1,7,361,21,2,560,20,not flowering yet,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,85,144,61,no,NA,1,1,8,330,22,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,86,149,202,no,NA,2,1,4,182,18,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,86,152,194,no,NA,2,2,4,254,20,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,87,197,198,no,NA,1,1,7,215,13,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,88,242,207,no,NA,1,1,4,258,19,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,89,251,136,no,NA,1,1,5,286,19,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,90,258,97,no,NA,1,1,5,242,16,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,91,315,162,no,NA,2,1,6,250,18,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,91,339,156,no,NA,2,2,6,289,16,2,106,7,not flowering yet,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,92,356,177,yes,NA,1,1,5,256,16,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P13,76,93,375,182,yes,NA,1,1,4,259,19,0,NA,NA,NA,NA,NA,NA,clorotic spots,NA,2015,Y0
