site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease..yes.no.,disease_comments,herbivory..yes.no.,herbivory_comments,other_comments,c_year,s_year
SW242,NA,NA,NA,NA,T5,4,NA,1,50,30,no,yes,2,2,5,108,6,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,4,NA,1,50,30,no,yes,2,1,27,146,17,4,226,11,Flowering,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,2,33,30,no,yes,2,1,2,64,7,0,0,0,0,yes,brown,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,5,NA,2,33,30,no,na,2,2,2,10,3,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,9,NA,3,45,47,no,yes,1,2,8,104,16,0,0,0,0,yes,brown,yes,feeding holes,tag at equidistance from the both plants,2018,Y1
SW242,NA,NA,NA,NA,T7,4,NA,4,19,28,no,yes,1,1,5,45,6,0,0,0,0,no,NA,yes,feeding holes_ mowed,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T2,11,NA,5,14,15,yes,yes,1,1,12,111,16,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,9,NA,6,27,3,no,yes,1,1,6,160,13,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,12,NA,7,45,16,no,no,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,20,NA,8,43,38,no,yes,2,2,7,54,6,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,20,NA,8,43,38,no,yes,2,1,4,57,7,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,5,NA,9,9,13,no,yes,2,2,3,96,5,NA,0,0,0,NA,NA,NA,NA,plot 4 was missed last year_ it does not exist!,2018,Y1
SW242,NA,NA,NA,NA,T1,5,NA,9,9,13,no,yes,2,1,5,118,11,NA,0,0,0,NA,NA,NA,NA,no tags,2018,Y1
SW242,NA,NA,NA,NA,T5,12,NA,10,6,18,no,no,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,5,NA,11,35,17,yes,yes,2,2,6,95,9,0,0,0,0,yes,brown_ dry,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T3,5,NA,11,35,17,yes,yes,2,1,9,95,13,0,0,0,0,yes,brown_ dry,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T7,1,NA,12,28,11,no,yes,1,1,15,155,19,2,180,10,Flowering,no,NA,yes,feeding holes,tag nearly outside the transect,2018,Y1
SW242,NA,NA,NA,NA,T2,11,NA,13,17,15,yes,yes,2,1,5,82,8,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,11,NA,13,17,15,yes,na,2,2,13,95,7,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,3,NA,14,46,31,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,15,12,27,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,1,NA,16,24,45,no,yes,1,1,6,68,12,0,0,0,0,NA,NA,NA,NA,?©quidistance entre A et B,2018,Y1
SW242,NA,NA,NA,NA,T5,3,NA,17,33,4,no,yes,1,1,35,164,18,0,0,0,0,no,NA,yes,feeding holes,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,18,9,41,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,19,3,47,yes,yes,1,1,12,104,9,0,0,0,0,yes,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,16,NA,20,12,15,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,20,NA,21,41,23,no,yes,1,1,5,129,15,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,10,NA,22,19,30,no,yes,2,2,9,133,12,NA,0,0,0,no,NA,no,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,10,NA,22,19,30,no,yes,2,1,13,146,16,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,23,48,7,no,yes,1,1,5,120,9,0,0,0,0,no,NA,yes,NA,longest leaf eaten,2018,Y1
SW242,NA,NA,NA,NA,T2,4,NA,24,17,10,no,yes,1,1,10,132,16,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,17,NA,25,48,47,yes,yes,1,1,4,94,9,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,1,NA,26,47,34,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T2,17,NA,27,7,44,no,yes,1,1,10,89,12,0,0,0,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T4,8,NA,28,7,3,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T1,18,NA,29,13,9,no,no,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,20,NA,30,49,33,no,yes,1,1,8,109,11,0,0,0,0,no,NA,yes,5 leaves cut,NA,2018,Y1
SW242,NA,NA,NA,NA,T5,6,NA,31,7,24,no,yes,2,1,16,153,20,3,NA,8,bud,yes,brown,yes,NA,length over 200,2018,Y1
SW242,NA,NA,NA,NA,T5,6,NA,31,7,24,no,yes,2,2,14,119,19,0,0,0,0,no,NA,yes,NA,NA,2018,Y1
