site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,109,31,19,no,NA,1,1,3,122,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,110,26,21,no,NA,1,1,3,100,3,0,NA,NA,NA,no,,,herbivory insect,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,111,29,24,no,NA,1,1,5,170,9,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,112,36.5,19,no,NA,1,1,9,170,8,1,340,11,no seeds,no,,,"herbivory, leaf grazed by red deer?",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,113,1,42,no,NA,1,1,4,165,8,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,114,6,30.5,no,NA,1,1,3,110,3,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,115,34.5,21,no,NA,1,1,5,236,9,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,116,15.5,30.5,yes,NA,2,1,4,204,9,1,216,6,seeds dispersed,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,116,15.5,30.5,yes,NA,2,2,3,169,4,1,212,5,seeds dispersed,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,117,13.5,30.5,yes,NA,2,1,5,190,7,3,195,6,seeds dispersed,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,5,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,5,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,117,13.5,30.5,yes,NA,2,2,4,191,7,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,118,28,48,no,NA,1,1,9,140,8,3,248,9,mature seeds,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,8,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,6,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,119,28,40.5,no,NA,1,1,3,106,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,120,32,37.5,no,NA,1,1,6,154,8,1,340,9,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,121,32,34.5,no,NA,1,1,6,142,7,2,285,7,mature seeds,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,9,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,122,33.5,35.5,yes,NA,2,1,5,125,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,122,33.5,35.5,yes,NA,2,2,5,134,5,1,240,8,seeds dispersed,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,123,43.5,40.5,no,NA,1,1,5,128,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,124,40.5,34.5,no,NA,1,1,6,140,9,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,125,42.5,27,no,NA,1,1,4,142,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
