site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,26,41.5,20.5,no,NA,1,1,4,179,9,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,27,33,24,yes,NA,2,1,2,152,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,27,34,23,yes,NA,2,2,3,160,7,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,28,42.5,48,no,NA,1,1,2,104,4,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,29,28,43,no,NA,1,1,3,153,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P5,0,30,9,48,no,NA,1,1,2,169,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,31,11.5,2,no,NA,1,1,3,160,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,32,2,36.5,no,NA,1,1,4,175,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,33,9,45,no,NA,1,1,3,149,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,34,15.5,41,no,NA,1,1,5,190,8,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,35,13.5,43.5,no,NA,1,1,3,132,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,36,17.5,45.5,no,NA,1,1,6,172,8,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,37,21.5,0.5,no,NA,1,1,4,120,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,38,16.5,34.5,yes,NA,2,1,4,170,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,38,17.5,33.5,yes,NA,2,2,5,186,10,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,39,19.5,31.5,no,NA,1,1,5,168,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,40,23.5,30.5,no,NA,1,1,3,125,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,41,38.5,5,no,NA,1,1,3,113,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,42,42.5,6,no,NA,1,1,3,152,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,43,46,1,no,NA,1,1,5,125,3,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,44,46,12,no,NA,1,1,3,136,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,45,30,6,no,NA,1,1,3,111,2,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,46,31,0.5,no,NA,1,1,3,161,6,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,47,36.5,6,no,NA,1,1,4,181,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,48,29.5,33.5,no,NA,1,1,5,242,16,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,49,30,33,no,NA,1,1,3,152,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,50,40.5,39.5,no,NA,1,1,3,180,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,51,42.5,41.5,no,NA,1,1,4,178,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,52,39.5,46,no,NA,1,1,3,146,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,53,49,47,no,NA,1,1,3,172,6,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,54,27,44,no,NA,1,1,3,89,4,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P6,1,55,26,49.5,no,NA,1,1,5,149,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,56,6.5,8,no,NA,1,1,5,129,9,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,57,10.5,10.5,no,NA,1,1,3,94,2,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,58,17.5,8,yes,NA,2,1,4,181,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,58,17.5,7.5,yes,NA,2,2,4,185,12,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P7,9,59,22.5,6.5,no,NA,1,1,5,142,7,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
